id,application_date,segment,case_count
1,2019-07-06,1,0.1853214891030708
2,2019-07-07,1,3.5923994111809927
3,2019-07-08,1,10.835669257120742
4,2019-07-09,1,6.412522668999131
5,2019-07-10,1,9.349471381690462
6,2019-07-11,1,12.546485038580766
7,2019-07-12,1,10.634715667206926
8,2019-07-13,1,13.942801110309285
9,2019-07-14,1,11.890704742973481
10,2019-07-15,1,9.04264357531966
11,2019-07-16,1,13.615854304276283
12,2019-07-17,1,16.1086647788015
13,2019-07-18,1,14.484804900941478
14,2019-07-19,1,14.415069890483398
15,2019-07-20,1,16.15236164615635
16,2019-07-21,1,12.519578469292558
17,2019-07-22,1,15.91230430587689
18,2019-07-23,1,13.750481376777241
19,2019-07-24,1,12.534029714707208
20,2019-07-25,1,18.68624228079706
21,2019-07-26,1,11.427341771577401
22,2019-07-27,1,15.374773497716529
23,2019-07-28,1,17.72211190223802
24,2019-07-29,1,18.55376599158601
25,2019-07-30,1,18.125695037874983
26,2019-07-31,1,56.224372747174655
27,2019-08-01,1,35.438213196988514
28,2019-08-02,1,39.810395212963584
29,2019-08-03,1,41.43044055393959
30,2019-08-04,1,44.46071089934113
31,2019-08-05,1,0.1853214891030708
32,2019-08-06,1,0.1853214891030708
33,2019-08-07,1,3.5923994111809927
34,2019-08-08,1,10.835669257120742
35,2019-08-09,1,6.412522668999131
36,2019-08-10,1,9.349471381690462
37,2019-08-11,1,12.546485038580766
38,2019-08-12,1,10.634715667206926
39,2019-08-13,1,13.942801110309285
40,2019-08-14,1,11.890704742973481
41,2019-08-15,1,9.04264357531966
42,2019-08-16,1,13.615854304276283
43,2019-08-17,1,16.1086647788015
44,2019-08-18,1,14.484804900941478
45,2019-08-19,1,14.415069890483398
46,2019-08-20,1,16.15236164615635
47,2019-08-21,1,12.519578469292558
48,2019-08-22,1,15.91230430587689
49,2019-08-23,1,13.750481376777241
50,2019-08-24,1,12.534029714707208
51,2019-08-25,1,18.68624228079706
52,2019-08-26,1,11.427341771577401
53,2019-08-27,1,15.374773497716529
54,2019-08-28,1,17.72211190223802
55,2019-08-29,1,18.55376599158601
56,2019-08-30,1,18.125695037874983
57,2019-08-31,1,56.224372747174655
58,2019-09-01,1,35.438213196988514
59,2019-09-02,1,39.810395212963584
60,2019-09-03,1,41.43044055393959
61,2019-09-04,1,44.46071089934113
62,2019-09-05,1,0.1853214891030708
63,2019-09-06,1,0.1853214891030708
64,2019-09-07,1,3.5923994111809927
65,2019-09-08,1,10.835669257120742
66,2019-09-09,1,6.412522668999131
67,2019-09-10,1,9.349471381690462
68,2019-09-11,1,12.546485038580766
69,2019-09-12,1,10.634715667206926
70,2019-09-13,1,13.942801110309285
71,2019-09-14,1,11.890704742973481
72,2019-09-15,1,9.04264357531966
73,2019-09-16,1,13.615854304276283
74,2019-09-17,1,16.1086647788015
75,2019-09-18,1,14.484804900941478
76,2019-09-19,1,14.415069890483398
77,2019-09-20,1,16.15236164615635
78,2019-09-21,1,12.519578469292558
79,2019-09-22,1,15.91230430587689
80,2019-09-23,1,13.750481376777241
81,2019-09-24,1,12.534029714707208
82,2019-09-25,1,18.68624228079706
83,2019-09-26,1,11.427341771577401
84,2019-09-27,1,15.374773497716529
85,2019-09-28,1,17.72211190223802
86,2019-09-29,1,18.55376599158601
87,2019-09-30,1,18.125695037874983
88,2019-07-24,2,1276.7020275331902
89,2019-07-25,2,1374.3109324669235
90,2019-07-26,2,1301.8127016031508
91,2019-07-27,2,1253.7840797368958
92,2019-07-28,2,1099.0772415585832
93,2019-07-29,2,1233.6576724542751
94,2019-07-30,2,332.2511223686275
95,2019-07-31,2,93.87871597356892
96,2019-08-01,2,500.9302838827839
97,2019-08-02,2,265.79890873015876
98,2019-08-03,2,500.2830431848852
99,2019-08-04,2,415.54954212454214
100,2019-08-05,2,251.30883986928106
101,2019-08-06,2,305.78497002997
102,2019-08-07,2,186.55301659125186
103,2019-08-08,2,227.3781592508799
104,2019-08-09,2,195.94490878402647
105,2019-08-10,2,260.42364135864136
106,2019-08-11,2,1000.0879842152174
107,2019-08-12,2,2007.3961544011545
108,2019-08-13,2,883.7733333333333
109,2019-08-14,2,998.5875564713066
110,2019-08-15,2,985.3081782106781
111,2019-08-16,2,2070.617813852814
112,2019-08-17,2,1714.1222853535353
113,2019-08-18,2,1881.1544164332402
114,2019-08-19,2,826.9537984237984
115,2019-08-20,2,1863.7021773324716
